item_id,app_name,genres,year,price,developer
761140,Lost Summoner Kitty,Action,2018,4.99,Kotoshiro
767400,弹炸人2222,Action,2017,0.99,彼岸领域
772540,Battle Royale Trainer,Action,2018,3.99,Trickjump Games Ltd
774276,SNOW - All Access Basic Pass,Free to Play,2018,9.99,Poppermost Productions
774277,SNOW - All Access Pro Pass,Free to Play,2018,18.99,Poppermost Productions
774278,SNOW - All Access Legend Pass,Free to Play,2018,29.99,Poppermost Productions
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Action,2018,10.99,Stegalosaurus Game Development
768880,Beach Rules,Casual,2018,3.99,Copperpick Studio
765320,Planetarium 2 - Zen Odyssey,Casual,2018,2.99,Ghulam Jewel
773650,The first thrust of God,Adventure,2018,1.5899999999999999,Apillo
774271,SNOW - Starter Pack,Free to Play,2018,14.99,Poppermost Productions
773690,The first thrust of God - All Aircrafts,Adventure,2018,1.99,Apillo
774279,SNOW - Lifetime Pack,Free to Play,2018,59.99,Poppermost Productions
768060,The Warrior Of Treasures,Action,2018,0.99,Tero Lunkka
775880,RC Plane 3 - Canyon Scenario,Racing,2017,2.99,FrozenPepper
775881,RC Plane 3 - F-53B,Racing,2017,2.99,FrozenPepper
653960,DinoBlaster,Action,2018,4.99,Casey Labrack
282010,Carmageddon Max Pack,Action,1997,9.99,Stainless Games Ltd
70,Half-Life,Action,1998,9.99,Valve
752360,Fallen Mage,Action,2016,1.99,dev4play
766850,Vaporwave Simulator,Casual,2018,0.99,ETGgames
754360,Underdone - Soundtrack,Action,2018,8.99,The Commander
716110,Bitcoin Clicker,Adventure,2018,0.99,"lalalaZero,Urbanoff"
1640,Disciples II: Gallean's Return,Strategy,2006,6.99,Strategy First
1630,Disciples II: Rise of the Elves,Strategy,2006,6.99,Strategy First
2400,The Ship: Murder Party,Action,2006,9.99,Outerlight Ltd.
759920,Souland,Action,2017,7.99,Ultraint
603280,TAROTICA VOO DOO,Action,2017,10.99,TPM.CO SOFT WORKS
753110,Chronicles of Vinland,Casual,2017,9.99,Wonderbox Games
753100,Orbitality,Action,2017,9.99,Wonderbox Games
764280,Atomic Adam: Episode 1,Action,2017,1.99,Mad Unicorn Games
758550,Mirt. Tales of the Cold Land. Chapter 2,Adventure,2017,0.99,Emanon Studios
3800,Advent Rising,Action,2005,9.99,GlyphX Games
1520,DEFCON,Indie,2006,9.99,Introversion Software
2420,The Ship: Single Player,Action,2006,9.99,Outerlight Ltd.
4000,Garry's Mod,Indie,2006,9.99,Facepunch Studios
4230,RACE - The WTCC Game,Racing,2006,39.99,SimBin
2520,Gumboy - Crazy Adventures™,Casual,2006,4.99,"CINEMAX, s.r.o."
6200,Ghost Master®,Strategy,2003,4.99,Sick Puppies
6210,Vegas: Make It Big™,Strategy,2006,4.99,Deepred
6300,Dreamfall: The Longest Journey,Adventure,2006,19.99,Funcom
2990,FlatOut 2™,Racing,2006,9.99,Bugbear Entertainment
6220,FlatOut,Racing,2005,7.49,Bugbear Entertainment
6510,Lost Planet™: Extreme Condition,Action,2007,14.99,"CAPCOM Co., Ltd."
3980,CivCity: Rome,Strategy,2006,9.99,"FireFly Studios,Firaxis Games"
1700,Arx Fatalis,RPG,2002,4.99,Arkane Studios
6310,The Longest Journey,Action,2000,9.99,Funcom
3990,Civilization IV®: Warlords,Strategy,2006,4.99,Firaxis Games
7610,Railroad Tycoon 3,Strategy,2003,9.99,PopTop
7600,Sid Meier's Railroads!,Strategy,2006,9.99,"Firaxis Games,Feral Interactive (Mac)"
7620,Railroad Tycoon II Platinum,Strategy,1998,4.99,PopTop
2540,RIP - Trilogy™,Casual,2007,4.99,Elephant Games
7650,X-COM: Terror From the Deep,Strategy,1995,4.99,"MicroProse Software, Inc"
8000,Tomb Raider: Anniversary,Action,2007,8.99,"Crystal Dynamics,Feral Interactive (Mac)"
6550,Devil May Cry® 3 Special Edition,Action,2006,19.99,"CAPCOM Co., Ltd."
8200,Sam & Max 101: Culture Shock,Action,2006,19.99,Telltale Games
2290,Final DOOM,Action,1996,4.99,id Software
8210,Sam & Max 102: Situation: Comedy,Action,2006,19.99,Telltale Games
2280,Ultimate Doom,Action,1995,4.99,id Software
9160,Master Levels for Doom II,Action,1995,14.99,id Software
2300,DOOM II,Action,1994,4.99,id Software
2270,Wolfenstein 3D,Action,1994,4.99,id Software
9010,Return to Castle Wolfenstein,Action,2001,4.99,Gray Matter Studios
9040,QUAKE Mission Pack 1: Scourge of Armagon,Action,1997,2.99,Ritual Entertainment
9000,Spear of Destiny,Action,1993,2.99,id Software
3810,BloodRayne,Action,2003,9.99,Terminal Reality
9030,QUAKE Mission Pack 2: Dissolution of Eternity,Action,2007,2.99,Rogue Entertainment
2310,QUAKE,Action,2007,4.99,id Software
3230,Genesis Rising,Strategy,2007,4.99,Metamorf
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",Strategy,2006,12.99,Relic Entertainment
7670,BioShock™,Action,2007,19.99,"2K Boston,2K Australia"
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",Strategy,2006,12.99,Relic Entertainment
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",Strategy,2006,12.99,Relic Entertainment
